# TBROWSER	3.0
# USER	puthier
# OS	Mac OS X
# JAVA	1.8.0_73-b02
# DATE	mercredi 30 mars 2016
# TIME	10:37:28 CEST
# MODULE	145B59B7C
# PLATFORM	GPL570
# EXPERIMENT	GSE9195
# PROBES	452
# SAMPLES	77

HD	GSM232194	GSM232222	GSM232212	GSM232203	GSM232205	GSM232211	GSM232213	GSM232218	GSM232219	GSM232195	GSM232230	GSM232216	GSM232223	GSM232232	GSM232262	GSM232255	GSM232201	GSM232214	GSM232217	GSM232221	GSM232228	GSM232225	GSM232202	GSM232215	GSM232265	GSM232266	GSM232204	GSM232220	GSM232248	GSM232231	GSM232208	GSM232196	GSM232270	GSM232258	GSM232254	GSM232257	GSM232261	GSM232226	GSM232207	GSM232233	GSM232209	GSM232234	GSM232237	GSM232235	GSM232242	GSM232247	GSM232229	GSM232249	GSM232206	GSM232199	GSM232224	GSM232200	GSM232243	GSM232250	GSM232253	GSM232241	GSM232246	GSM232238	GSM232239	GSM232251	GSM232240	GSM232252	GSM232197	GSM232245	GSM232236	GSM232256	GSM232269	GSM232198	GSM232244	GSM232227	GSM232260	GSM232210	GSM232259	GSM232264	GSM232263	GSM232267	GSM232268
NULL	0.11872203	0.08419575	-0.105476156	0.0	0.11736607	-0.10335621	-0.14630662	-0.14639263	-0.14169233	-0.1417581	-0.13655183	-0.1443587	0.027225366	-0.1318161	8.9047843E-4	-0.14607388	0.116652675	0.11701696	0.08603236	0.116693154	0.12750538	0.12142382	0.097198755	-5.7172764E-4	0.1274649	0.120270245	0.119501196	0.08466628	0.11124909	-0.12797593	-0.09571125	-0.023450952	-0.12895241	0.10429223	0.010888123	-0.14491019	-0.14460155	-0.13863637	-0.14072596	-0.14329113	-0.12266341	-0.13446224	-0.10676634	-0.14643312	-0.14538579	-0.14063995	-0.021988746	-0.12887652	0.09169398	0.12795062	-0.062298074	-0.10926069	-0.12130745	0.10232913	0.018619094	-0.13600035	0.11811994	0.09937436	-0.07360614	-0.14490514	0.09115261	0.09463863	-0.09777048	-0.14102952	0.12824914	-0.14451048	0.07819514	-0.045702793	0.12314912	0.11691071	0.12196519	0.12048274	0.12891193	0.12771282	0.10731277	0.09974876	0.09531155
STIL	0.10832492	0.048127335	0.07503978	-0.14652818	-0.14981608	0.08886651	-0.15848318	-0.15863687	-0.13047294	-0.14815293	0.015473421	-0.15766533	-0.08019941	-0.15088095	-0.12958921	-0.15817031	0.0783661	-0.15308751	0.1166517	0.07771291	0.0559601	0.03383953	0.04262738	-0.025419444	0.1245174	0.112123296	0.08531514	0.05607537	0.098258145	0.07626382	0.047951687	0.08109961	0.013376633	0.12012622	0.09463542	0.035091016	-0.1353252	-0.12670751	0.1024133	-0.14778517	-0.09055711	0.0	-0.13292651	-0.15804406	-0.15369679	-0.10620069	-0.13766898	-0.1387613	-0.14473878	0.108423725	-0.13777876	-0.061525922	-0.1559857	-0.079200424	-0.06283779	-0.13200985	0.1342329	-0.117343314	-0.14826271	-0.15644677	0.011252399	-0.12948492	-0.14331165	-0.15027717	0.13076934	0.111052945	0.12771198	-0.028833587	0.12602139	0.0501857	0.11153048	0.13797636	0.11790867	0.1363736	0.12343059	-0.10385141	0.09055162
CDKN3	0.11904444	0.037371527	0.0	0.12214183	0.089677475	0.100982204	-0.146556	-0.14656107	-0.09977062	-0.14559789	-0.14092392	-0.13047591	0.08687917	-0.03985046	0.122192524	-0.14662698	0.12600978	0.118410766	0.12498069	0.10906788	0.117133275	0.12460556	-0.08873963	-0.07282176	0.117919035	0.080294035	0.12182246	0.108419	0.117766954	0.093961105	0.056959644	0.09959319	-0.008521641	0.120316856	0.11889236	-0.14427479	-0.14681454	-0.14464991	-0.117021754	-0.1460592	-0.038907554	-0.12198975	-0.14447756	-0.14658135	-0.14297195	-0.14238897	-0.11477094	0.06641405	-0.13643244	-0.12662317	0.10064256	-0.07975668	-0.14366646	-0.1366048	-0.07838288	0.11456817	0.12715039	-0.10546355	-0.12714025	-0.14328118	0.0907167	0.09381409	0.10859643	-0.12881821	0.11130348	-0.14558268	-0.08596161	-0.06468032	0.12962931	-0.047398776	0.10583361	-0.07712567	0.108545735	0.12802233	0.123525776	0.1141322	0.10527598
CDC6	0.1526755	0.14700755	0.021548454	-0.11329225	-0.11371798	0.108793795	-0.1268389	-0.1261054	-0.11611852	-0.12343813	-0.022528162	-0.11347177	0.04759536	-0.018245144	-0.056889765	-0.12599768	0.122484066	0.1392417	0.1518548	0.14142168	0.13244015	0.14672543	-0.080505356	0.1250231	0.08296232	0.14794622	0.115046486	0.14249371	0.14967994	0.11380005	-0.1146823	0.13643593	-0.097442515	0.14627405	-0.115467094	-0.12595151	-0.03686473	-0.121740304	-0.114641264	-0.123889506	-0.050390862	-0.09752971	-0.08172614	-0.12687993	-0.1256181	-0.11840622	0.11704181	-0.022651268	-0.11447713	0.042753242	0.09859149	0.05445332	-0.10986583	-0.101694755	0.12447426	0.0069964514	0.15234722	0.0	-0.095303565	-0.08644516	0.02150229	-0.08253145	-0.027544681	-0.1136513	0.15153165	-0.118683204	0.12968569	-0.06643551	0.15119311	0.13121425	0.14001623	0.15165988	0.15238824	0.15264472	0.14500196	-0.11467717	0.14695625
C12orf48	-0.09845389	-0.12805758	0.02815222	-0.017783672	0.1448063	0.038476594	-0.15063742	-0.14332327	-0.114224434	-0.14045188	-0.11415502	-0.09935632	-0.074643455	-0.14550047	0.053900048	-0.14092518	0.13677903	0.14083052	0.099602446	0.1542093	0.18412222	0.129894	-0.104057826	-0.087340675	0.17105266	0.17228326	0.17809546	0.17898527	-0.1294144	0.08596493	0.11243849	0.0666793	0.082020715	0.08516978	0.14683203	0.08893098	-0.117985636	0.05578065	0.06575162	-0.06165595	0.06400986	-0.05543356	-0.03990282	-0.040849432	-0.005042283	-0.08325762	0.03427364	-0.12367161	0.0	-0.0035908122	0.104789875	-0.04125963	-0.08466492	-0.047336876	0.04192857	-0.10117382	0.16029285	-0.092408195	-0.13884264	-0.1045122	-0.1366465	-0.08914554	-0.07814592	-0.077350765	0.09225674	-0.041335363	-0.07141867	0.07684591	0.16177587	0.13234888	0.14447813	0.18432416	0.17073713	0.18684214	0.17316677	-0.1025117	0.18031684
NULL	-0.06207459	-0.05112553	-0.11674604	0.10467304	-0.0062370086	-0.14020078	-0.14500253	-0.14523998	-0.05388522	-0.14426908	-0.14457512	-0.144897	-0.07797316	-0.1433826	0.0	-0.1452347	0.12839162	0.024161812	0.13198502	0.12876625	0.13987362	0.114165746	-0.14330345	-0.13727751	0.1222918	0.13455476	0.09455241	0.11039294	-0.113157906	0.11536883	0.07088133	0.12224431	0.11714178	0.12310441	0.12643926	0.10341192	0.13014874	-0.12615432	-0.10344886	-0.07378877	0.01835749	0.11794384	0.025180208	-0.14029576	0.08212589	0.024663094	-0.068253554	-0.12324688	-0.14267024	-0.108815216	-0.062195957	-0.07822644	-0.1368923	-0.054813914	0.02871029	0.058106545	0.14017439	-0.11814962	-0.13595307	-0.14447486	-0.13574727	-0.1317634	-0.08788272	-0.13868637	0.12263478	-0.07360937	0.137821	0.08914384	0.13863361	0.14074427	0.13464445	0.1422745	0.1340218	0.13713504	0.07978305	-0.124048926	0.13032815
MCM4	0.091921814	0.10255954	-0.087393485	-0.01161831	-0.015573713	0.1510215	-0.06780377	-0.10290109	0.117180206	-0.10813456	0.046269406	0.049376436	0.1294706	0.14087407	0.0	-0.13548084	0.15356661	0.15665162	0.14847086	0.13505664	0.15345092	0.15498792	-0.095023334	0.1533683	0.151958	0.14834967	-0.013976127	0.11487748	0.14616263	0.15038246	0.11597926	0.1353321	0.13641734	0.15721902	-0.12517916	-0.11497664	-0.10930796	-0.13291368	-0.11276756	-0.11039322	-0.09783289	0.04283184	-0.0995737	-0.1231684	-0.11961515	-0.1250855	-0.09818546	-0.031488977	-0.13252805	0.12166998	-0.105903454	-0.05654905	-0.11605088	-0.084589444	-0.082352825	-0.08757528	0.15142916	-0.030023606	-0.10267522	-0.0656002	-0.101507336	-0.10228409	-0.0058780164	-0.07275078	0.14907134	-0.07693205	0.08630272	0.07729564	-0.039851516	0.14626178	0.11808367	0.13028592	0.15142365	0.15810046	0.13764033	0.10089034	0.1560346
TMPO	0.0	0.057427514	-0.08910373	0.08079766	0.15300326	0.105933465	-0.1402706	0.052223787	0.08363266	-0.1140095	-0.12081103	-0.1102668	0.124186926	-0.0035686255	0.036631256	-0.10999946	0.13507931	0.09596743	-0.12365225	0.1648966	0.1335126	0.16644467	0.04466999	0.0075537977	0.16765079	0.17061636	-0.10919124	0.16625194	-0.020012902	0.06186032	0.15106975	0.100804344	0.09907599	0.16922994	0.059193175	-0.08479527	-0.12928496	-0.13626057	-0.052292176	-0.14743273	-0.13494876	-0.11330697	7.1496854E-4	-0.10344662	-0.14089854	-0.108121894	-0.034026284	-0.1038756	-0.047616903	0.011178377	-0.011967951	-0.124448046	-0.08447198	-0.0659201	-0.06818313	-0.14207357	0.1695781	-0.055382084	-0.14298128	-0.09543897	0.15131843	-0.06296075	0.0018589181	-0.13497984	0.0751463	-0.09410229	-0.12415584	0.12825914	0.16038299	-0.08953271	0.16282631	0.17464505	0.15793344	0.16297552	0.1681295	-0.034828294	0.15818213
LMNB1	0.08739705	-0.13534266	-0.14603959	-0.08819399	0.08767919	0.05036616	-0.16327052	-0.16434962	-0.15691967	-0.16185482	-0.12971452	-0.16099846	0.059008844	-0.14109455	0.066913985	-0.16547821	0.09783163	0.08948594	0.09241634	0.09532198	0.071844175	0.10063332	-0.14367844	0.02289371	0.011696829	0.093747884	-0.11689899	0.053182706	-0.05067306	0.08313015	0.0	0.058746494	-0.16392887	0.09169859	0.0036184436	-0.040901776	-0.1657356	-0.16079551	-0.15272208	-0.1622706	-0.14631183	-0.15672167	-0.13648117	-0.1649733	-0.15770672	-0.14614354	-0.16500796	-0.14577724	-0.15231124	0.09595558	0.0019700965	-0.06069679	-0.16427042	-0.13174401	0.017141819	-0.071725376	0.10196982	0.054548904	-0.09400033	-0.15524162	0.08929784	-0.14659894	-0.13845621	-0.055553753	0.103004366	0.06628038	0.0867288	0.10054422	0.09897012	0.082551	0.098089024	0.09410924	0.099504724	0.103058815	0.09070859	0.08350635	0.09165404
EXO1	-0.109678656	0.114740655	0.03404611	0.104598075	0.13822286	0.023897333	-0.13635792	-0.15702103	-0.023996465	-0.12892911	-0.08151859	-0.14897263	0.05742299	-0.14654388	-0.10201441	-0.15953034	0.10951757	-0.021697812	-0.010421393	0.07668584	0.1343009	0.15332212	0.11253493	0.14856991	0.15975338	0.13293162	0.15848324	0.14359465	0.13184115	0.115453176	0.10631432	0.076115824	-0.10281987	0.14187841	0.11119044	-0.13749795	-0.11602939	-0.11374313	-0.13497005	-0.12726243	-0.03964095	-0.08989536	-0.087993234	-0.15152532	-0.13182877	-0.06385427	-0.1509429	0.030229475	0.08247894	-0.09583097	0.01875479	-0.13344587	-0.075341344	0.0042441464	-0.115645245	-0.095453024	0.15057117	-0.115558505	-0.03324065	-0.11417063	0.13245454	0.076828346	-0.09322871	-0.076152995	0.16598639	-0.14392303	-0.10369968	0.0	0.15370625	0.11293147	0.03126418	0.17343998	0.16187236	0.0025526837	0.13690935	-0.05926935	0.16732469
HJURP	0.11174297	0.12916239	0.0	0.057970516	0.08059936	0.11054514	-0.14033838	-0.14432172	-0.13048452	-0.13920835	-0.050139412	-0.109867126	0.12649551	-0.13896538	-0.06874535	-0.14433868	0.14124805	0.0045992206	0.14938991	0.15278	0.15265569	0.15416993	0.10582727	-0.022736195	0.1506725	0.09088263	0.0783167	0.12133692	0.090419315	0.0993748	-0.113019906	0.054433525	-0.13162585	-0.042952426	0.1013467	-0.14072259	-0.13736075	-0.12161943	-0.1258175	-0.14071128	0.020007174	-0.016690537	-0.12676671	-0.14264928	-0.14172266	-0.1334	-0.118528806	-0.13330959	-0.07946933	0.1434403	-0.107511014	-0.03166908	-0.068864	-0.055201944	-1.5820414E-4	-0.11039259	0.15366708	-0.082966775	-0.10752232	-0.13428141	0.027256314	0.059343502	-0.11994134	-0.11542122	0.15423773	-0.12586269	0.0572586	0.121348225	0.1126809	0.09684353	0.13694829	0.15002273	0.1373099	0.12975	0.1316767	0.11702586	0.14773442
SPC25	-0.04670281	0.13816448	0.10682743	0.06532976	0.039617453	-0.079234906	-0.12662289	-0.12584741	-0.10963183	-0.1183106	-0.11027451	-0.122384414	0.13861594	-0.1100833	0.14901027	-0.12435493	-0.061431218	0.035219643	0.1596755	0.15672237	0.153748	0.15810333	0.119580016	0.113668464	0.14638115	0.14726815	0.0380506	0.15375863	0.11731206	0.12788698	0.11046571	-0.029387768	-0.109520294	0.1253269	0.15062493	-0.108946666	-0.12482764	-0.07594186	-0.104463875	-0.09805306	0.1586026	-0.018074566	-0.11027982	-0.12635732	-0.114847586	-0.006936639	0.084726855	-0.071241304	-0.10926004	-0.08223582	-0.061659604	0.029573666	-0.09200873	-0.04974091	0.08627246	0.060315832	0.15950021	0.0	-0.007191585	-0.1134985	0.13838755	-0.076897904	-0.12327141	-0.110885315	0.14321558	-0.109148495	-0.031639785	-0.02440571	0.15306816	0.15619655	0.15669051	0.15363115	0.16031285	0.15915498	0.13731997	-0.11551151	0.16143887
MLF1IP	0.06293601	-0.14073472	-0.10725138	-0.11581993	0.1324116	-0.008672177	-0.14203827	-0.14200008	-0.13943116	-0.13939843	-0.14134012	-0.14148194	-0.116130814	-0.13851485	-0.13882574	-0.1419619	0.029163605	0.10122449	0.103755236	0.1468925	0.08088578	0.13783853	-0.13083534	0.0044124476	0.14385997	-0.016940745	-0.13588047	0.14940144	0.15274486	0.101513565	0.040819228	0.119839676	0.11293466	0.14820151	0.14096925	-0.07118821	-0.10917126	-0.11834522	-0.11165292	-0.14234915	0.09867738	0.055763736	-0.09732474	-0.14220189	-0.03802668	0.0	-0.13314247	0.045138955	-0.13828032	0.10818405	-0.012942815	-0.081153035	-0.096141174	-0.050336808	0.014606346	-0.03917206	0.15387388	-0.03193434	-0.11535632	-0.14035837	0.12324309	-0.13224797	0.08922525	-0.075060695	0.15252124	-0.11447819	0.14269277	0.09494125	0.13737492	0.109258525	0.10029182	0.14233279	0.14795607	0.11308737	0.12623745	0.11159838	0.13330609
NEK2	0.045011424	0.021950833	-0.12006304	-0.13416182	-0.04678424	0.0	-0.11448634	-0.010371682	-0.03619619	0.05663245	-0.11120593	-0.07250406	0.11945581	-0.08940166	-0.07374643	-0.17661871	0.16186385	0.031275578	-0.09256342	0.14514072	0.13401525	0.16635871	0.042401053	0.057358332	0.17502038	0.16918544	0.16825017	0.17765169	0.1647185	0.005513882	0.1699532	0.10763237	0.1438495	0.1739595	0.080753945	-0.021120261	0.02478455	-0.12499063	-0.11629405	-0.10326315	-0.1615358	-0.15406764	0.058335476	-0.14951694	-0.12952738	-0.072971694	-0.1471369	-0.15382335	-0.1501451	-0.12325271	-0.11913475	0.083880804	-0.13152353	-0.035184152	0.08328754	-0.06885373	0.17328246	0.120977364	-0.053966247	-0.07140128	0.052598245	-0.08060737	-0.10620853	-0.08682619	0.15030563	-0.060268823	0.043078076	-0.101602	0.1570549	0.09190734	-0.10583862	0.10843503	-0.059207924	0.13678615	0.0876777	0.08478117	0.17747721
FANCI	-0.06469696	0.025195034	0.08597636	-0.13881843	-0.1255107	0.011768484	-0.14249101	-0.14228037	-0.13522685	-0.08732658	-0.13227798	-0.13761403	-0.066149786	-0.13310431	-0.1124298	-0.14286907	0.13312592	-0.059490524	-0.12714176	0.14194012	0.12808691	0.14081675	0.08001921	0.08888203	0.11002101	0.12201093	-0.08325433	0.14283666	0.12209734	0.09767464	0.11961295	0.13157046	0.110760935	0.13950433	-0.005660106	0.063708596	-0.13442752	-0.09601117	-0.11185731	-0.080969766	-0.008425348	-0.11154946	0.14392763	-0.1418807	-0.13697673	-0.11194912	-0.12581314	-0.09451513	-0.116475046	0.012259963	0.0	-0.11813311	-0.13015543	-0.06691131	0.01860598	-0.12595896	0.1481187	0.013037687	-0.12879442	-0.14023344	0.05502401	-0.110922955	0.04172708	-0.08530666	0.14939332	-0.11176549	0.12707154	0.14786488	0.14236139	0.12224857	0.13579394	0.13826753	0.1455749	0.15018184	0.07674088	0.14718977	0.1399418
FAM83D	0.11104684	0.09099408	-0.064019874	0.09565266	-0.12955306	0.117944576	-0.13158348	-0.13166414	-0.12834336	-0.1307106	-0.12481384	-0.12226633	0.114690214	-0.11459533	0.12348079	-0.1313795	0.12572469	0.12274547	0.12639359	0.12245609	0.12391723	0.12282612	-0.05878727	-0.09173414	0.09590409	0.12517439	0.122418135	0.116511896	0.11238464	0.10323352	0.034085423	-0.09669633	-0.12682053	0.112953916	-0.12712416	-0.12912612	-0.12765074	-0.12645526	-0.12657386	-0.128628	0.0	-0.10292517	-0.1246478	-0.13158824	-0.12952934	-0.12760805	-0.124747425	-0.10572885	-0.12133651	0.12181565	-0.07438544	-0.08078031	-0.12561557	-0.10842817	0.11748915	-0.042226072	0.126664	0.09603218	-0.104405284	-0.121578455	0.12112778	0.033895664	-0.12173501	-0.022548089	0.12465729	-0.12892686	0.12136972	0.094997995	0.1177643	0.123618364	0.12210029	0.12603779	0.12520285	0.12679207	0.124676265	0.10776876	0.1230728
MCM10	0.1027329	0.12907983	0.0	-0.15130001	-0.057485722	0.105507694	-0.15124005	-0.15320258	-0.1042157	-0.14456746	0.010919289	-0.13855994	0.05722405	-0.14057153	-0.1278151	-0.15368776	0.12660487	0.08159756	0.14094768	0.13831462	0.10692508	0.12176942	-0.05484176	0.06948985	0.120281175	0.13323931	0.031863827	0.06880297	-0.07907898	0.11895646	0.02890913	0.1265122	-0.085855156	0.11076836	0.023637561	-0.1354526	-0.14567411	-0.077487156	-0.14198892	-0.14981177	0.04666456	-0.09125211	-0.034687687	-0.1412039	-0.1244897	-0.14217971	-0.05662984	-0.075012185	-0.11793704	0.13742058	-0.07140332	0.010183341	-0.14293201	-0.12954322	-0.098715164	-0.13787305	0.1401136	-0.08946403	-0.09619659	-0.14033167	-0.012729175	0.043077495	-0.09870972	-0.115173146	0.14052247	-0.12622327	0.13915415	0.11338507	0.14047886	0.13347372	0.12832208	0.14264855	0.13891429	0.13067167	0.13794938	0.12903078	0.13997187
ASPM	-0.0013088824	0.10158007	-0.046755437	-0.03287049	-0.020982599	-0.13016634	-0.13593486	-0.14657459	-0.12797362	-0.14329563	-0.1535238	-0.12022827	0.0	-0.00419652	0.1479307	-0.045318365	0.028107237	0.0833839	0.15349008	0.17551169	-0.0041627856	0.15619555	-0.015247805	0.07533495	0.17796078	0.14283685	0.06362248	0.121726066	0.04108811	-0.041742552	-0.06097098	5.262517E-4	0.06815634	0.14361948	-0.03187196	0.0049791504	-0.12364216	-0.052308068	-0.06624024	-0.055215947	-0.15044726	-0.11823796	-0.100595035	-0.14903718	-0.15062268	0.017332572	-0.10809749	-0.060593158	-0.09668188	0.17153107	0.10855628	0.15965666	0.17700948	0.119769484	0.14936776	-0.012265712	0.13789818	-0.025671637	-0.10517612	-0.1228123	-0.0045743417	0.11812326	-0.006105869	-0.040555116	0.17323126	-0.115080446	0.16728732	0.12888443	0.08835631	0.06364947	0.1697499	0.15612808	0.18497072	0.17686105	0.17679358	0.10652549	0.18424207
BIRC5	0.1541191	0.14861967	-0.04786931	0.12353858	0.025748184	0.0829346	-0.14571577	-0.121481195	-0.06846561	-0.13928013	-0.13880923	-0.07482838	0.11125592	-0.06370615	0.1357652	-0.13606231	0.13090482	0.09895644	0.15497121	0.13575958	0.1543097	0.14652863	-0.08459958	0.10975353	0.1316336	0.14641091	-0.11105411	0.12043849	-0.0058806543	-0.10132776	-0.112892866	-0.06766396	-0.12143075	0.12687974	0.09019993	-0.13726199	-0.12682368	-0.1279617	-0.042958487	-0.111143805	-0.11991153	-0.08281127	-0.13278282	-0.12609491	-0.12705353	-0.12384691	-0.0046921903	0.0	-0.13356765	0.14765544	0.12175029	0.10999458	-0.04467952	-0.06965408	0.1362473	-0.09193217	0.15020615	0.08435852	-0.106670246	-0.13419552	0.046585545	-0.09431471	-0.08198159	-0.056070834	0.13647154	-0.10751674	0.13177374	0.052079387	0.15092371	0.10345803	0.12177832	0.026387263	0.13495232	0.15169734	0.15107507	0.07029316	0.15563832
RAD51	0.0	0.12346142	0.09907116	-0.112108275	0.03095227	-0.0049541015	-0.14013262	-0.14029016	-0.13837261	-0.13861163	0.03062091	-0.12438488	0.11038086	-0.07053076	-0.09865832	-0.13882348	0.13878545	0.11577496	0.14485857	0.14163189	0.14775933	0.13779138	0.057987973	-0.012124511	0.12792663	0.12450439	0.10890332	0.097490415	0.12147869	0.115628295	-0.11004406	0.08310614	-0.10896307	0.12565057	-0.019273192	-0.1295943	-0.13512963	-0.12317352	-0.12109301	-0.11738287	-0.023575438	0.06346899	0.04203381	-0.13721015	-0.13550988	-0.11211371	-0.123015985	-0.13399431	-0.11318383	0.07219842	-0.07031891	-0.115052484	-0.12802984	-0.1234234	0.09614868	-0.10429144	0.15213762	-0.050105955	-0.114237666	-0.12160363	0.13938299	0.04249554	-0.11676361	-0.089401975	0.11506335	-0.13537951	0.1322506	0.123499446	0.124368586	0.120327085	0.14610797	0.15273516	0.14838946	0.14879687	0.118056454	-0.11381939	0.11198333
CDCA3	0.102720976	0.083595134	-0.11151805	0.096155085	0.1049879	-0.027136637	-0.14372462	-0.14391863	-0.14026298	-0.14109519	-0.13799095	-0.13792457	0.09520543	-0.10221041	0.09030909	-0.14304045	0.13186926	0.109235816	0.11652671	0.1258803	0.13000567	0.12808594	-0.13744465	-0.050168317	0.12328662	0.12896413	-0.085550606	-0.0068160696	-0.09833521	0.08530043	-0.11728746	-0.118788525	-0.13269126	0.019370914	0.07949529	-0.14243798	-0.12255651	-0.14112583	-0.13470289	-0.14017618	0.08024071	-0.04234132	-0.130746	-0.14387779	-0.14047231	-0.12425669	-0.13491733	-0.10149051	-0.13446803	0.11171206	0.11800225	0.060466453	-0.08885398	0.0	0.11787461	-0.09210629	0.13369708	0.10753052	0.06598568	-0.12947468	-0.09749277	0.054717466	-0.0962572	-0.11785929	0.13052645	-0.136061	0.12782045	0.021969698	0.13117488	0.1289386	0.12919898	0.12841782	0.12694228	0.12933683	0.11807373	0.100423425	0.12845866
UBE2C	0.05360351	0.069127664	-0.095967494	0.09441406	-0.11068955	0.10281071	-0.1396463	-0.13941279	-0.124178	-0.13915388	-0.13318384	-0.0054928497	0.13394533	0.0622083	0.12161941	-0.13901682	0.13341229	0.12789913	0.13666129	0.13196546	0.13423976	0.13418393	-0.109110735	0.0	0.112090684	0.13319398	0.05176072	0.12545222	0.039729245	-0.099896766	-0.12278702	-0.115177244	-0.1339504	0.11655299	-0.01323462	-0.13734154	-0.12619847	-0.1350114	-0.12616295	-0.1391285	-0.12669598	-0.11637531	-0.1295287	-0.13988999	-0.13862084	-0.13683389	-0.1301176	-0.113750726	-0.1153803	0.117827214	0.08693628	0.045328703	-0.114847265	-0.11717741	0.09801336	-0.011300446	0.13501649	0.015351551	-0.129879	-0.12453336	0.07834672	0.04660292	-0.092398666	-0.09365766	0.13271679	-0.062787026	0.13512817	-0.035749212	0.1156849	0.12872154	0.13109736	0.13442253	0.13052371	0.1362907	0.13439713	0.1296607	0.12933072
ZWINT	0.113813296	-0.106943354	-0.13009858	-0.12791006	0.0022567424	0.097307585	-0.13626002	-0.13591889	-0.13637547	-0.13434441	-0.11013428	-0.13482724	0.1337881	0.03637554	-0.08331578	-0.13627575	0.13379858	0.084690824	0.12503403	0.14551266	0.11092677	0.14246343	0.06751334	0.09796887	0.121160835	0.124566935	0.1458433	0.09003353	0.0910097	0.13556725	-0.08098557	0.052351177	-0.11490493	0.12432027	0.058586087	-0.12643531	-0.13426568	-0.1277841	0.0070326393	-0.13060766	-0.06546652	-0.07516527	0.049480394	-0.13615505	-0.131059	-0.129621	-0.0823816	-0.11297358	-0.12337034	0.086286284	-0.104240514	-0.049564365	-0.12953177	0.0	-0.08311635	-0.12211076	0.1458328	-0.042027894	-0.053636998	-0.13436015	0.1461267	-0.105032995	-0.09660957	-0.13360965	0.14128257	-0.11960735	0.1318515	0.117576286	0.10647101	0.14130881	0.11714593	0.13918853	0.14495109	0.14326641	0.14382797	-0.096352406	0.12827219
MKI67	0.055741236	0.14094232	0.092062704	-0.12227422	0.065942384	0.057244565	-0.12963516	-0.1280835	-0.06274245	-0.12220442	-0.07809249	-0.12752512	-0.12626877	-0.11727028	0.12333192	-0.12849155	0.15345752	0.10330008	-0.06657593	0.14657444	0.09018354	0.11080061	-0.12105545	0.102473244	0.12805666	0.14896902	-0.11294822	0.13541223	0.15492864	-0.10352558	0.11271198	-0.026587421	0.043950852	0.14609659	-0.11114422	-0.11536965	-0.12030915	-0.12350372	-0.10976438	-0.10807851	-0.06414376	-0.12270374	0.0	-0.12896402	-0.09670154	-0.10731611	-0.11818839	0.016160771	-0.10614029	0.055311713	0.004563673	-0.09990148	-0.10056187	0.096637115	0.094462655	-0.10674162	0.15497158	0.14655833	-0.09628276	-0.11025297	0.11255628	-0.11608373	0.13084318	-0.0137715535	0.16027619	-0.090951316	0.12847008	-0.098908216	0.09818339	0.14071682	0.13804305	0.16005069	0.14678383	0.16065203	0.14519997	-0.11830114	0.14845896
KPNA2	0.12928423	0.14659847	-0.11677575	-0.1388677	-0.14312328	-0.038210373	-0.15214533	-0.14696902	-0.11300299	-0.14086635	0.045441486	-0.1279312	-0.0711097	-0.05969599	0.12748206	-0.14786729	0.13451669	0.12588201	0.13974912	0.13224292	0.12712276	0.10702385	-0.10948288	-0.10702385	0.14016458	0.14122567	0.05870227	0.123720534	-0.09653088	0.06397963	0.08846325	0.012474794	0.057815224	0.117022775	0.0561871	-0.11849932	-0.14507142	-0.09443116	-0.116601706	-0.123933874	0.06756151	0.07654987	-0.095278904	-0.15009052	-0.14809187	-0.056041133	-0.061290424	-0.13079445	-0.0040478515	0.13466264	0.0	0.07066617	-0.137015	-0.11764595	-0.096485965	-0.14034985	0.128167	-0.02185054	-0.05088728	-0.12672414	-0.11619187	-0.111144684	0.10868566	-0.031827006	0.13690834	-0.14254501	0.110077985	0.07601652	0.14246641	0.13621779	0.13204081	0.14468403	0.14274152	0.14811432	0.14445946	0.07384943	0.14042284
ERCC6L	0.14017086	0.0	0.08451782	-0.053683024	0.0484851	-0.06872439	-0.16439012	-0.075932264	-0.13800117	-0.16162144	-0.10159576	-0.11928599	-0.02058537	-0.15205088	0.10697337	-0.12550886	0.17392741	0.016013062	0.0099299615	0.18027672	0.09738284	0.012399142	-0.041916154	-0.11166548	-0.11712297	0.1394321	0.092943646	0.14136885	0.06692076	-0.0849837	0.06302731	0.06734671	0.06698065	0.17537831	0.08013852	-0.14259346	-0.11437426	-0.16159482	-0.13010779	-0.14711252	-0.12089662	-0.099772155	0.13748205	-0.1527364	-0.14564832	-0.043353733	-0.15233706	-0.07137326	-0.07730329	0.17515866	0.12170859	-0.07673092	-0.14389127	-0.11352901	0.15587112	-0.1267002	0.1821935	-0.09888698	0.033503637	-0.07654457	0.05333694	0.04215575	-0.11908633	-0.07343646	0.17254972	0.006256142	-0.04602258	0.16997406	0.06687417	-0.04556335	0.082740806	0.16641338	0.15790103	0.13508609	0.13720918	0.049623188	0.10611482
