# TBROWSER	3.0
# USER	puthier
# OS	Mac OS X
# JAVA	1.8.0_73-b02
# DATE	mercredi 30 mars 2016
# TIME	10:43:30 CEST
# MODULE	60E0C1ABC
# PLATFORM	GPL570
# EXPERIMENT	GSE7127
# PROBES	205
# SAMPLES	63

HD	GSM162904	GSM162934	GSM170596	GSM169526	GSM170592	GSM162931	GSM169524	GSM162902	GSM170589	GSM162941	GSM170855	GSM170866	GSM162930	GSM169529	GSM170858	GSM170591	GSM162905	GSM170843	GSM170857	GSM170593	GSM170983	GSM171597	GSM162942	GSM170853	GSM169531	GSM162937	GSM162928	GSM170588	GSM162943	GSM169525	GSM162936	GSM170867	GSM162929	GSM170835	GSM170595	GSM170850	GSM169530	GSM170979	GSM170862	GSM170590	GSM170597	GSM169528	GSM162932	GSM162906	GSM162940	GSM171011	GSM162938	GSM162939	GSM170833	GSM170865	GSM170844	GSM162933	GSM170841	GSM170849	GSM169527	GSM170823	GSM170980	GSM170594	GSM170848	GSM162935	GSM170992	GSM171012	GSM170978
ATAD2	0.05091308	-0.08816968	-0.085438386	0.115439974	-0.26322874	0.051894642	-0.05398579	0.07826873	-0.07118443	-0.13921079	0.0064014774	0.059832472	-0.041310865	0.1688283	0.15286727	-0.0046944167	0.16366443	0.044042163	-0.020868815	0.049419403	0.07532405	0.0054199174	-0.36151275	-0.1713462	0.0	0.06956272	-0.06418548	0.08787094	-0.14505747	0.03367177	-0.19545844	-0.08437147	-0.04801108	-0.012418866	-0.0626918	0.03512277	0.011906748	0.021850375	-0.30065605	0.16387782	0.092437334	0.04314596	0.14147265	0.043530047	0.10481352	0.086035855	-0.10673396	-0.17096213	-0.25213286	-0.27009967	0.06217968	0.04395681	-0.08279244	-0.021765023	0.16332301	0.090260826	-0.18103378	-0.046730783	-0.19396476	0.07319022	-0.15073346	-0.05949106	-0.13891205
ANKRD46	0.06644908	-0.03361111	0.044882633	0.048748318	-0.7243479	0.07751715	-0.04016243	0.047568265	0.02754809	-0.16374226	-0.11137241	-0.15523775	0.022461662	0.09074186	0.076296404	-0.0012207425	0.11979553	-0.006836158	-0.09660143	0.070843756	-0.058392182	-0.0734887	-0.16606167	-0.122847386	0.1213825	0.042563222	0.03812786	-0.013387476	-0.006144404	0.08097592	0.11462772	0.13281679	-0.044272263	0.039958972	-0.12024314	-0.0020752624	-0.04447572	-0.016235875	-0.022258205	0.047283426	0.12459712	-0.06286824	0.05509618	0.049562145	0.0034587705	0.0	0.1199583	0.007039615	-0.10303067	-0.107140504	0.0540382	0.13184018	-0.16634652	0.020345708	0.2664881	0.025594901	-0.1161333	-0.108483315	-0.023112725	-0.023641713	0.024903147	-0.004679513	-0.09761871
MED30	0.008812442	-0.036693186	0.12835018	0.21442343	-0.021765213	0.01815667	0.08257866	0.17089301	0.20249625	0.055077765	0.005925608	0.15558518	-0.114295855	0.22289401	0.16736044	-0.13818821	0.16785423	0.14726655	0.18688455	0.17837599	0.0542421	-0.05636924	-0.06404214	-0.17776823	0.022524906	-0.10555939	-0.11163693	-0.07122125	-0.18175662	0.0	-0.21951337	-0.08850427	-0.041745145	-0.03707303	-0.06730883	0.19311404	0.14445569	0.038934283	-0.18775819	0.09803842	0.15942164	-0.05447001	0.029096253	-0.021043504	-0.04448004	-0.1520906	0.04056762	-0.09013761	-0.12417187	-0.2764524	-0.14783631	0.08121122	-0.121361	0.019372178	0.11304236	0.069663875	-0.017776823	0.08732674	-0.08265463	-0.046949044	-0.16887982	0.04892425	-0.2585236
NFKBIL2	0.07515627	-0.0798068	-0.13084576	0.057769373	-0.49253532	0.014302126	-0.25365242	0.0	-0.06662641	-0.18242222	0.022387968	-0.15596797	-0.13304248	-0.04844495	0.097193696	-0.13865116	0.013764628	0.1800619	-0.06279381	-0.10471867	-0.07401117	-0.08564917	-0.30448106	-0.19686456	0.15070982	0.074174754	0.12287676	0.09303393	0.10647138	0.0640324	-0.09062687	-0.021079278	0.11282788	-0.046832453	-0.07085629	0.17601898	-0.06302751	0.10801377	0.034049343	0.017153203	0.18938632	0.017597225	0.027038498	0.031689025	0.1703402	0.04199497	0.058937848	-1.16847434E-4	-0.08504157	-0.09684315	-0.11415995	-0.005141287	-0.27085236	0.013764628	0.013624411	-0.012970066	-0.082260594	0.016265163	0.0031315114	0.10705562	-0.0477906	0.09438936	-0.0883834
NULL	0.04473369	0.08347747	0.03653841	0.19143187	-0.19606042	0.13578022	-0.031093042	-0.20047118	-0.077405885	-0.044461418	-0.05908223	0.031283632	-0.0772153	-0.035721604	0.03024901	-0.0709259	0.053310137	0.16142789	-0.07789597	-0.0776237	-1.3613417E-4	0.05578778	0.013558962	-0.4619849	-0.57639205	-0.07988353	0.09739038	0.057448618	-0.0067522544	0.09229896	0.024122974	-0.015791563	0.039315548	-0.015110892	0.0445431	0.1488491	-0.071497664	0.08652688	-0.10139272	0.16248974	0.093142994	-0.018840969	0.07212388	0.14933918	0.09651912	-0.039424453	0.0075690597	-0.012742158	-0.0219176	-0.117756054	-0.04135756	0.0	-0.050151825	-0.028261453	0.03275388	0.11348144	-0.015982151	7.8957813E-4	-0.043481253	0.04996124	0.084212594	0.10014029	-0.18160297
NULL	-0.19741087	0.024137726	-0.037520327	0.14356516	-0.29417196	0.0056052776	-0.16321868	0.033841863	0.004904618	-0.08684677	0.051008023	0.21215975	-0.18655065	-0.06715823	0.19219095	-0.14219888	0.19821663	0.19124506	-0.13718916	0.025293814	-0.052899808	-0.114032365	0.07458522	-0.10660537	0.07335907	0.076477006	-0.094764225	0.022596275	0.05801462	0.08684677	0.0049746837	-0.029988235	0.07497059	0.06270904	-0.033351403	0.082467645	-0.0702061	0.004203958	-0.21608345	0.20855136	0.29490766	-0.18991381	0.049221344	0.08856338	-0.0134876985	0.0	0.041163757	0.020003835	-0.1982867	-0.06172812	-0.0068314318	0.06291924	-0.09073543	-0.025048584	-0.060431898	0.058750313	-0.22049761	-0.23720834	-0.17856312	0.10755126	-0.10390783	-0.03391193	-0.2006339
NULL	0.05914011	0.034348447	0.13611422	0.1912157	-0.14870998	-0.020353155	-0.15730709	0.049183458	-0.12115925	-0.13267538	0.04130611	0.11168244	0.027550735	-0.05426175	0.08996974	-0.023951944	0.102245614	0.11116261	0.13523452	0.018273855	0.0	0.0341885	-0.09108937	-0.15262866	-0.10328526	0.030549726	-0.02039314	0.037707318	-0.0019193544	0.09560785	0.11244218	0.04186592	-0.06453829	0.038786955	-0.33156848	0.16894318	-0.024391796	0.08673083	-0.25811318	0.20145224	0.24563739	-0.2036915	-0.08525133	0.08461154	0.105324574	-0.1296364	0.06217909	-0.13799359	-0.06405845	-0.16366495	-0.21144888	0.05406182	-0.04046639	-0.23368141	-0.16078593	0.047344077	-0.09380845	-0.023831984	-0.081492595	0.031149523	0.07457492	-0.070576265	-0.32189173
NULL	0.0	0.1766377	0.093234725	0.17967997	-0.11660834	0.25833404	-0.03609924	0.004377914	-0.13181974	-0.06399917	-0.05335119	0.09405095	-0.015916314	-0.10551515	0.029717874	-0.12254449	0.05654187	0.23291987	-0.027009504	-0.09100867	-0.060437474	0.025488364	-0.12577228	-0.36997083	-0.0499379	0.09779815	0.15671448	-0.06570581	0.07509235	0.102584176	-0.05806301	-0.0049715294	0.11011567	0.055354644	0.055428844	0.13285856	3.339087E-4	0.059287343	-0.19782235	0.18680337	0.21366447	0.017103545	-0.012206218	0.18357559	0.13949963	6.3071644E-4	0.13964804	-0.08306906	-0.33324087	-0.10547805	-0.06214412	0.035171717	-0.02341071	-0.055911157	0.08373688	-0.0030793801	-0.07045473	-0.028901653	-0.0383253	0.025228657	0.10124854	-0.044446956	-0.32333493
NULL	-0.0039464314	0.07607843	0.018679775	-0.06051195	-0.47111621	0.0040779794	-0.15619099	0.041042887	-0.07033418	0.06932565	-0.14610566	-8.769848E-5	-0.1293991	0.0374034	0.18087812	-0.057179406	0.13952827	0.15439317	0.0	-0.10308956	0.092258796	-0.11874374	-0.26050833	-0.18587692	-0.11975227	-0.009646833	-0.053846866	-0.11812985	0.017408147	0.028721252	-0.033720065	0.0021486126	0.08791772	0.09076793	0.1092723	0.20289043	-0.1786418	0.07327208	-0.2817752	-0.025564106	0.18421066	-0.1758793	-0.10624671	0.030738316	0.19547991	0.041788325	0.051084366	0.03683336	-0.06239747	-0.15404238	-0.057924844	-0.03341312	-0.1612775	0.011751596	-0.069457196	0.06309906	0.030738316	0.052005198	-0.03867503	0.10471199	0.046304796	0.13325784	-0.18412295
BOP1	0.019812668	0.05823114	0.040279053	-0.006235459	-0.2829591	0.0	-0.11057882	-0.0028160138	-0.07764152	0.07035006	-0.12792748	0.0041234484	-0.07658552	0.02810985	0.1966181	-0.01206863	0.08905643	0.1672511	-0.025494982	-0.032283586	0.08397755	-0.18097916	-0.16448537	-0.25163093	-0.55923015	0.05274997	-0.025846982	-0.12516175	0.012521204	-0.0020617242	-0.010409193	0.05637056	0.10001877	0.062354587	0.13813552	0.25092694	-0.12204402	0.06989748	-0.1672511	0.010409193	0.19043292	-0.08277069	-0.06567346	-0.035300743	0.205217	0.027405847	0.05536484	0.021974964	-0.021622961	-0.062052872	-0.015890364	0.0204161	-0.06607575	-0.0077943234	-0.091419876	0.043396782	0.058532856	0.08900615	-0.033289306	0.059538577	0.14995272	0.11294226	-0.12873206
